MainDataset,Title,date,brt_nTrue,brt_nTop,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,split4_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV,split0_test_PPV,split1_test_PPV,split2_test_PPV,split3_test_PPV,split4_test_PPV,mean_test_PPV,std_test_PPV,rank_test_PPV,cv,brt_md,brt_params
T85,T85_Holdout,2024-04-27 20:03:55.582372,,,0.08988595008850098,0.017682557699057994,0.020545530319213866,0.0037707731143305384,RandomForestClassifier(),3,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.6901408450704225,0.6244131455399061,0.6713615023474179,0.6556603773584906,0.6509433962264151,0.6585038533085305,0.02187985653282002,14,0.6181560153817982,0.5405145577733016,0.5902113970588235,0.5764242704955999,0.572487262621584,0.5795587006662215,0.025248792551100845,40,0.7775590551181103,0.6295550265519135,0.6911305147058824,0.669569245020843,0.6568318666049097,0.6849291416003317,0.05041911107745117,21,0.3888888888888889,0.1836734693877551,0.3137254901960784,0.2912621359223301,0.28846153846153844,0.2932023045713182,0.06572659799641878,40,0.2441860465116279,0.10465116279069768,0.18823529411764706,0.17647058823529413,0.17647058823529413,0.17800273597811217,0.04442990902924516,40,0.2441860465116279,0.10465116279069768,0.18823529411764706,0.17647058823529413,0.17647058823529413,0.17800273597811217,0.04442990902924516,40,0.9921259842519685,0.9763779527559056,0.9921875,0.9763779527559056,0.968503937007874,0.9811146653543308,0.009463193677232825,2,0.9545454545454546,0.75,0.9411764705882353,0.8333333333333334,0.7894736842105263,0.8537057885355098,0.08138236810577378,2,0.6596858638743456,0.6169154228855721,0.6479591836734694,0.6391752577319587,0.6373056994818653,0.6402082855294422,0.014081918069361812,40,0.9545454545454546,0.75,0.9411764705882353,0.8333333333333334,0.7894736842105263,0.8537057885355098,0.08138236810577378,2,5,,T1000_itrr500_th100_topR5
T85,T85_Holdout,2024-04-27 20:03:55.582372,,,1.081406593322754,0.054664208466585075,0.08857975006103516,0.0037749699955210068,RandomForestClassifier(),3,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.6854460093896714,0.6197183098591549,0.6619718309859155,0.6509433962264151,0.6462264150943396,0.6528611923110994,0.0214052465945568,19,0.6104651162790697,0.5328236586705731,0.5784466911764706,0.5705419175544234,0.5646595646132468,0.5713873896587568,0.02494009725875625,41,0.7511902581944698,0.6534059696026369,0.6845128676470589,0.679064381658175,0.6674849467345991,0.687131684767388,0.03376050530066586,18,0.3619047619047619,0.14736842105263157,0.28,0.27450980392156865,0.25742574257425743,0.2642417458906439,0.06869883877501262,41,0.22093023255813954,0.08139534883720931,0.16470588235294117,0.16470588235294117,0.15294117647058825,0.15693570451436387,0.04458329852524452,41,0.22093023255813954,0.08139534883720931,0.16470588235294117,0.16470588235294117,0.15294117647058825,0.15693570451436387,0.04458329852524452,41,1.0,0.984251968503937,0.9921875,0.9763779527559056,0.9763779527559056,0.9858390748031496,0.009191070363145879,1,1.0,0.7777777777777778,0.9333333333333333,0.8235294117647058,0.8125,0.8694281045751634,0.0835226671410409,1,0.654639175257732,0.6127450980392157,0.6414141414141414,0.6358974358974359,0.6326530612244898,0.6354697823666029,0.013618583712080926,41,1.0,0.7777777777777778,0.9333333333333333,0.8235294117647058,0.8125,0.8694281045751634,0.0835226671410409,1,5,,T1000_itrr500_th100_topR5
T85,T85_Holdout,2024-04-27 20:03:55.582372,,,0.12503442764282227,0.0004915750457892411,0.022564172744750977,0.0004418123360863728,RandomForestClassifier(),6,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.6807511737089202,0.6384976525821596,0.676056338028169,0.6556603773584906,0.6509433962264151,0.6603817875808309,0.01581703975747767,13,0.6177897820911921,0.5654642006958432,0.600045955882353,0.5842056507642427,0.5919407132931913,0.5918892605453645,0.017289840889209578,38,0.7837850210584142,0.6835286577549899,0.7159007352941178,0.6927281148679945,0.6594256600277907,0.7070736378006615,0.042410007948321685,4,0.423728813559322,0.29357798165137616,0.35514018691588783,0.34234234234234234,0.4032258064516129,0.3636030261841083,0.046069986349741285,38,0.29069767441860467,0.18604651162790697,0.2235294117647059,0.2235294117647059,0.29411764705882354,0.2435841313269494,0.042162266041912234,38,0.29069767441860467,0.18604651162790697,0.2235294117647059,0.2235294117647059,0.29411764705882354,0.2435841313269494,0.042162266041912234,38,0.9448818897637795,0.9448818897637795,0.9765625,0.9448818897637795,0.889763779527559,0.9401943897637797,0.028042124954081035,4,0.78125,0.6956521739130435,0.8636363636363636,0.7307692307692307,0.6410256410256411,0.7424666818688558,0.075901186854526,4,0.6629834254143646,0.631578947368421,0.6544502617801047,0.6451612903225806,0.653179190751445,0.6494706231273832,0.010581384703972824,38,0.78125,0.6956521739130435,0.8636363636363636,0.7307692307692307,0.6410256410256411,0.7424666818688558,0.075901186854526,4,5,,T1000_itrr500_th100_topR5
T85,T85_Holdout,2024-04-27 20:03:55.582372,,,1.0773398399353027,0.15358685174344552,0.07803025245666503,0.017463438514245956,RandomForestClassifier(),6,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.6854460093896714,0.6197183098591549,0.676056338028169,0.6650943396226415,0.6415094339622641,0.6575648861723802,0.02394211509936618,16,0.6179728987364951,0.5422083867423548,0.600045955882353,0.5920796665122742,0.5782306623436776,0.586107514043431,0.02543433772733657,39,0.7763687969236404,0.6821095037538913,0.7134650735294118,0.6937007874015747,0.6636868920796665,0.7058662107376369,0.03878100294925553,7,0.40707964601769914,0.22857142857142856,0.35514018691588783,0.3486238532110092,0.36666666666666664,0.34121635627653835,0.05987205532246051,39,0.26744186046511625,0.13953488372093023,0.2235294117647059,0.2235294117647059,0.25882352941176473,0.2225718194254446,0.04522051241904752,39,0.26744186046511625,0.13953488372093023,0.2235294117647059,0.2235294117647059,0.25882352941176473,0.2225718194254446,0.04522051241904752,39,0.968503937007874,0.9448818897637795,0.9765625,0.9606299212598425,0.8976377952755905,0.9496432086614174,0.02802968552348191,3,0.8518518518518519,0.631578947368421,0.8636363636363636,0.7916666666666666,0.6285714285714286,0.7534610516189464,0.10366453902011852,3,0.6612903225806451,0.6185567010309279,0.6544502617801047,0.648936170212766,0.6440677966101694,0.6454602504429225,0.014623497561216612,39,0.8518518518518519,0.631578947368421,0.8636363636363636,0.7916666666666666,0.6285714285714286,0.7534610516189464,0.10366453902011852,3,5,,T1000_itrr500_th100_topR5
T85,T85_Holdout,2024-04-27 20:03:55.582372,,,0.14182095527648925,0.03552545231579699,0.021702289581298828,0.0029555128625644977,RandomForestClassifier(),10,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.6948356807511737,0.6291079812206573,0.7089201877934272,0.6556603773584906,0.6698113207547169,0.6716671095756931,0.028268404135258985,5,0.6464933162424464,0.5650979674052371,0.65703125,0.5939323761000463,0.6213061602593793,0.6167722140014218,0.03381294581449747,20,0.7772386009888299,0.6800036623329061,0.7230698529411765,0.6948124131542379,0.660861509958314,0.7071972078750929,0.040491002881071256,3,0.5112781954887218,0.33613445378151263,0.5230769230769231,0.39669421487603307,0.47761194029850745,0.4489591455043396,0.07163675820234221,37,0.3953488372093023,0.23255813953488372,0.4,0.2823529411764706,0.3764705882352941,0.33734610123119013,0.06756525507164722,36,0.3953488372093023,0.23255813953488372,0.4,0.2823529411764706,0.3764705882352941,0.33734610123119013,0.06756525507164722,36,0.8976377952755905,0.8976377952755905,0.9140625,0.905511811023622,0.8661417322834646,0.8961983267716536,0.016207483983759593,6,0.723404255319149,0.6060606060606061,0.7555555555555555,0.6666666666666666,0.6530612244897959,0.6809496616183546,0.052836675612804154,6,0.6867469879518072,0.6333333333333333,0.6964285714285714,0.6534090909090909,0.6748466257668712,0.6689529218779348,0.02287637043097481,37,0.723404255319149,0.6060606060606061,0.7555555555555555,0.6666666666666666,0.6530612244897959,0.6809496616183546,0.052836675612804154,6,5,,T1000_itrr500_th100_topR5
T85,T85_Holdout,2024-04-27 20:03:55.582372,,,1.1872263908386231,0.22645675433493695,0.10008411407470703,0.016235475842750424,RandomForestClassifier(),10,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.7089201877934272,0.6291079812206573,0.6995305164319249,0.6745283018867925,0.6556603773584906,0.6735494729382585,0.02905899558912393,3,0.6583043398644937,0.5650979674052371,0.6452665441176471,0.6174617878647521,0.6036591014358499,0.6179579481375959,0.03277947984585379,18,0.7904687786119758,0.6830708661417323,0.7218290441176471,0.701852709587772,0.6536822603056971,0.7101807317529648,0.045996155691319936,1,0.5230769230769231,0.33613445378151263,0.5,0.448,0.44274809160305345,0.44999189369229786,0.06459441020531359,36,0.3953488372093023,0.23255813953488372,0.3764705882352941,0.32941176470588235,0.3411764705882353,0.3349931600547196,0.056436696475530956,37,0.3953488372093023,0.23255813953488372,0.3764705882352941,0.32941176470588235,0.3411764705882353,0.3349931600547196,0.056436696475530956,37,0.9212598425196851,0.8976377952755905,0.9140625,0.905511811023622,0.8661417322834646,0.9009227362204724,0.01911972784447351,5,0.7727272727272727,0.6060606060606061,0.7441860465116279,0.7,0.6304347826086957,0.6906817415816404,0.06398662736747152,5,0.6923076923076923,0.6333333333333333,0.6882352941176471,0.6686046511627907,0.6626506024096386,0.6690263146662204,0.021098928218129174,36,0.7727272727272727,0.6060606060606061,0.7441860465116279,0.7,0.6304347826086957,0.6906817415816404,0.06398662736747152,5,5,,T1000_itrr500_th100_topR5
T85,T85_Holdout,2024-04-27 20:03:55.582372,,,0.14457879066467286,0.02552834752686235,0.023468828201293944,0.004223250643410779,RandomForestClassifier(),15,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.7183098591549296,0.6572769953051644,0.704225352112676,0.660377358490566,0.6179245283018868,0.6716228186730445,0.03593987853970228,6,0.6774400292986632,0.6112433620216078,0.6610294117647059,0.6134321445113479,0.5799444187123668,0.6286178732617383,0.03559689852924488,12,0.7791613257645119,0.6881065738875665,0.69921875,0.6904585456229735,0.6224641037517369,0.6958818598053578,0.049853061286918486,13,0.5714285714285714,0.46715328467153283,0.5467625899280576,0.47058823529411764,0.4489795918367347,0.5009824546318029,0.04864359198849975,35,0.46511627906976744,0.37209302325581395,0.4470588235294118,0.3764705882352941,0.38823529411764707,0.4097948016415868,0.03858966921176153,34,0.46511627906976744,0.37209302325581395,0.4470588235294118,0.3764705882352941,0.38823529411764707,0.4097948016415868,0.03858966921176153,34,0.889763779527559,0.8503937007874016,0.875,0.8503937007874016,0.7716535433070866,0.8474409448818896,0.04077227397088186,8,0.7407407407407407,0.6274509803921569,0.7037037037037037,0.6274509803921569,0.532258064516129,0.6463208939489774,0.07201440224988054,8,0.710691823899371,0.6666666666666666,0.7044025157232704,0.6708074534161491,0.6533333333333333,0.681180358607758,0.02237809820903053,31,0.7407407407407407,0.6274509803921569,0.7037037037037037,0.6274509803921569,0.532258064516129,0.6463208939489774,0.07201440224988054,8,5,,T1000_itrr500_th100_topR5
T85,T85_Holdout,2024-04-27 20:03:55.582372,,,1.5654103755950928,0.08369246742019708,0.1253819942474365,0.0032441852212257882,RandomForestClassifier(),15,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.7183098591549296,0.6713615023474179,0.6901408450704225,0.6698113207547169,0.6415094339622641,0.6782265922579502,0.025356315475546846,1,0.6830708661417323,0.6249313312580114,0.64140625,0.6174154701250579,0.6015748031496063,0.6336797441348816,0.027824343293519585,10,0.7969694195202344,0.6901208569859,0.7153033088235294,0.6957387679481241,0.6396943029180175,0.707565331239161,0.0511930094155153,2,0.589041095890411,0.4852941176470588,0.5074626865671642,0.46153846153846156,0.4722222222222222,0.5031117167730635,0.04561305163363843,34,0.5,0.38372093023255816,0.4,0.35294117647058826,0.4,0.4073324213406293,0.049418051298858345,35,0.5,0.38372093023255816,0.4,0.35294117647058826,0.4,0.4073324213406293,0.049418051298858345,35,0.8661417322834646,0.8661417322834646,0.8828125,0.8818897637795275,0.8031496062992126,0.8600270669291339,0.02934953923419678,7,0.7166666666666667,0.66,0.6938775510204082,0.6666666666666666,0.576271186440678,0.6626964141588839,0.047702002037999354,7,0.7189542483660131,0.6748466257668712,0.6890243902439024,0.6706586826347305,0.6666666666666666,0.6840301227356368,0.019022402017605095,23,0.7166666666666667,0.66,0.6938775510204082,0.6666666666666666,0.576271186440678,0.6626964141588839,0.047702002037999354,7,5,,T1000_itrr500_th100_topR5
T85,T85_Holdout,2024-04-27 20:03:55.582372,,,0.20047531127929688,0.077418331535286,0.0274688720703125,0.008712859853702074,RandomForestClassifier(),,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.676056338028169,0.647887323943662,0.6807511737089202,0.6415094339622641,0.6179245283018868,0.6528257595889804,0.023194964307182955,20,0.6513916865043032,0.6108771287310016,0.6395220588235294,0.5996294580824456,0.6032885595182955,0.620941778331915,0.020686092097545055,15,0.7547610327778795,0.6531312946346823,0.6789522058823529,0.6676702176933766,0.6133395090319592,0.6735708520040501,0.04626275411299298,24,0.5660377358490566,0.4897959183673469,0.5211267605633803,0.4647887323943662,0.5263157894736842,0.5136129873295668,0.03440125832518953,33,0.5232558139534884,0.4186046511627907,0.43529411764705883,0.38823529411764707,0.5294117647058824,0.45896032831737343,0.05707541507696124,31,0.5232558139534884,0.4186046511627907,0.43529411764705883,0.38823529411764707,0.5294117647058824,0.45896032831737343,0.05707541507696124,31,0.7795275590551181,0.8031496062992126,0.84375,0.8110236220472441,0.6771653543307087,0.7829232283464567,0.056736043442041764,15,0.6164383561643836,0.5901639344262295,0.6491228070175439,0.5789473684210527,0.5232558139534884,0.5915856559965397,0.04185425993119249,18,0.7071428571428572,0.6710526315789473,0.6923076923076923,0.6645161290322581,0.6825396825396826,0.6835117985202874,0.015184241757776471,25,0.6164383561643836,0.5901639344262295,0.6491228070175439,0.5789473684210527,0.5232558139534884,0.5915856559965397,0.04185425993119249,18,5,,T1000_itrr500_th100_topR5
T85,T85_Holdout,2024-04-27 20:03:55.582372,,,1.6227726459503173,0.24385022638226336,0.13575844764709472,0.014211837636728158,RandomForestClassifier(),,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.6901408450704225,0.647887323943662,0.6901408450704225,0.6509433962264151,0.6132075471698113,0.6584639914961467,0.02906343788171595,15,0.6688335469694195,0.612754074345358,0.6493106617647059,0.6094488188976378,0.5857341361741547,0.6252162476302552,0.029818666271238893,13,0.749816883354697,0.6546420069584326,0.6924172794117648,0.6710514126910606,0.6196387216303845,0.6775132608092679,0.04327644999922174,23,0.5925925925925926,0.4966442953020134,0.5352112676056338,0.4788732394366197,0.4810126582278481,0.5168668106329415,0.042915952694239076,31,0.5581395348837209,0.43023255813953487,0.4470588235294118,0.4,0.4470588235294118,0.4564979480164159,0.05364903570152297,32,0.5581395348837209,0.43023255813953487,0.4470588235294118,0.4,0.4470588235294118,0.4564979480164159,0.05364903570152297,32,0.7795275590551181,0.7952755905511811,0.8515625,0.8188976377952756,0.7244094488188977,0.7939345472440944,0.04239631079602431,14,0.631578947368421,0.5873015873015873,0.6666666666666666,0.5964912280701754,0.5205479452054794,0.6005172749224659,0.04883958777713243,16,0.7226277372262774,0.6733333333333333,0.6987179487179487,0.6709677419354839,0.6618705035971223,0.6855034529620331,0.022229486646003188,19,0.631578947368421,0.5873015873015873,0.6666666666666666,0.5964912280701754,0.5205479452054794,0.6005172749224659,0.04883958777713243,16,5,,T1000_itrr500_th100_topR5
