MainDataset,Title,date,classifier,cv,brt_nTrue,brt_nTop,brt_nTrue,brt_nTop,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_roc_auc,mean_test_f1,mean_test_recall,mean_test_sensitivity,mean_test_specificity,mean_test_precision,mean_test_NPV,mean_test_PPV,brt_md,brt_params
T81,T81_Holdout,2024-04-27 19:24:11.492788,RandomForestClassifier,5,,,,,RandomForestClassifier(),3,100,42,,,0.8459929494712103,0.8307959568147443,0.9670419222524144,0.7991350063633754,0.6851601528063475,0.6851601528063475,0.9764317608231412,0.959326507281674,0.7928842768849902,0.959326507281674,,Boruta_T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 19:24:11.492788,RandomForestClassifier,5,,,,,RandomForestClassifier(),3,1000,42,,,0.8492655699177438,0.8346642276023424,0.9690560757169907,0.804437083626965,0.6948574786952689,0.6948574786952689,0.9744709765094157,0.9564493728749778,0.7979467041236974,0.9564493728749778,,Boruta_T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 19:24:11.492788,RandomForestClassifier,5,,,,,RandomForestClassifier(),6,100,42,,,0.885005875440658,0.8766540600232087,0.9711584751152855,0.8609645214908372,0.7965618571848369,0.7965618571848369,0.9567462628615804,0.9372751095584523,0.8532088050769875,0.9372751095584523,,Boruta_T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 19:24:11.492788,RandomForestClassifier,5,,,,,RandomForestClassifier(),6,1000,42,,,0.8915334900117509,0.8837661197797712,0.9726726329440952,0.8697141008286519,0.8087863649720834,0.8087863649720834,0.9587458745874586,0.9409687423404509,0.8608444420716348,0.9409687423404509,,Boruta_T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 19:24:11.492788,RandomForestClassifier,5,,,,,RandomForestClassifier(),10,100,42,,,0.9273149236192715,0.9248482715897041,0.9728248904819956,0.9173505174572126,0.9007934175727298,0.9007934175727298,0.9489031256066782,0.934732590428793,0.9218721377541674,0.934732590428793,,Boruta_T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 19:24:11.492788,RandomForestClassifier,5,,,,,RandomForestClassifier(),10,1000,42,,,0.9316745005875442,0.9292577871467117,0.9743173184235158,0.9222860565688137,0.9056714663532176,0.9056714663532176,0.9528441079402057,0.9398813997455553,0.9258131895366682,0.9398813997455553,,Boruta_T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 19:24:11.492788,RandomForestClassifier,5,,,,,RandomForestClassifier(),15,100,42,,,0.9338425381903643,0.93211627994142,0.9764258106334738,0.9253318259153962,0.9153100205700853,0.9153100205700853,0.9489225393127547,0.9357594460262465,0.9325459203648485,0.9357594460262465,,Boruta_T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 19:24:11.492788,RandomForestClassifier,5,,,,,RandomForestClassifier(),15,1000,42,,,0.9360047003525264,0.9349797588011036,0.9764422635069163,0.9283074648928308,0.9249779606229798,0.9249779606229798,0.9449815569792273,0.9317330750282068,0.9394967899241271,0.9317330750282068,,Boruta_T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 19:24:11.492788,RandomForestClassifier,5,,,,,RandomForestClassifier(),,100,42,,,0.9338425381903643,0.9334728147928446,0.9702765834136438,0.9264369644490038,0.9298266235674404,0.9298266235674404,0.9371190060182488,0.923196489662353,0.9427562833206398,0.923196489662353,,Boruta_T1000_itrr500_th100_topR5
T81,T81_Holdout,2024-04-27 19:24:11.492788,RandomForestClassifier,5,,,,,RandomForestClassifier(),,1000,42,,,0.9349236192714454,0.9346776340699531,0.9714946266022084,0.9277034780612989,0.9322362621216573,0.9322362621216573,0.9371190060182488,0.923412331508936,0.9446929475753005,0.923412331508936,,Boruta_T1000_itrr500_th100_topR5
